layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
10,5,0.025478,0.974522,0.01766,0,2166
10,6,0.0558239,0.944176,0.0386942,0,2166
10,7,0.0292509,0.970749,0.0202752,0,2166
10,8,0.0262013,0.973799,0.0181613,0,2166
10,9,0.0298379,0.970162,0.020682,0,2166
10,10,0.0218846,0.978115,0.0151692,0,2166
10,11,0.0292902,0.97071,0.0203024,0,2166
10,12,0.0247559,0.975244,0.0171595,0,2166
10,13,0.0252913,0.974709,0.0175306,0,2166
10,14,0.0417211,0.958279,0.0289189,0,2166
10,15,0.0364135,0.963587,0.0252399,0,2166
11,0,0.0243211,0.975679,0.0168581,0,2166
11,1,0.0322023,0.967798,0.0223209,0,2166
11,2,0.0354183,0.964582,0.0245501,0,2166
11,3,0.0251604,0.97484,0.0174399,0,2166
11,4,0.0279713,0.972029,0.0193882,0,2166
11,5,0.0292392,0.970761,0.0202671,0,2166
11,6,0.0414765,0.958523,0.0287493,0,2166
11,7,0.0313683,0.968632,0.0217429,0,2166
11,8,0.0272487,0.972751,0.0188874,0,2166
11,9,0.0282192,0.971781,0.0195601,0,2166
11,10,0.0340558,0.965944,0.0236057,0,2166
11,11,0.0309968,0.969003,0.0214854,0,2166
11,12,0.0268284,0.973172,0.0185961,0,2166
11,13,0.0289639,0.971036,0.0200763,0,2166
11,14,0.0329422,0.967058,0.0228338,0,2166
11,15,0.0385754,0.961425,0.0267385,0,2166
12,0,0.0390408,0.960959,0.027061,0,2166
12,1,0.0448417,0.955158,0.0310819,0,2166
12,2,0.032808,0.967192,0.0227408,0,2166
12,3,0.0334215,0.966578,0.023166,0,2166
12,4,0.0532078,0.946792,0.0368809,0,2166
12,5,0.0402011,0.959799,0.0278653,0,2166
12,6,0.0378622,0.962138,0.026244,0,2166
12,7,0.03506,0.96494,0.0243018,0,2166
12,8,0.0431684,0.956832,0.029922,0,2166
12,9,0.0615778,0.938422,0.0426824,0,2166
12,10,0.070538,0.929462,0.0488932,0,2166
12,11,0.0298715,0.970128,0.0207054,0,2166
12,12,0.0392141,0.960786,0.0271811,0,2166
12,13,0.119983,0.880017,0.0831662,0,2166
12,14,0.0287548,0.971245,0.0199313,0,2166
12,15,0.0366282,0.963372,0.0253887,0,2166
13,0,0.0426024,0.957398,0.0295298,0,2166
13,1,0.0517827,0.948217,0.035893,0,2166
13,2,0.0364112,0.963589,0.0252384,0,2166
13,3,0.0463026,0.953697,0.0320945,0,2166
13,4,0.0480514,0.951949,0.0333067,0,2166
13,5,0.0460714,0.953929,0.0319342,0,2166
13,6,0.0316238,0.968376,0.02192,0,2166
13,7,0.0425753,0.957425,0.0295109,0,2166
13,8,0.0325189,0.967481,0.0225404,0,2166
13,9,0.0446957,0.955304,0.0309807,0,2166
13,10,0.0477556,0.952244,0.0331016,0,2166
13,11,0.0496393,0.950361,0.0344074,0,2166
13,12,0.0368117,0.963188,0.0255159,0,2166
13,13,0.0434414,0.956559,0.0301113,0,2166
13,14,0.0343845,0.965615,0.0238335,0,2166
13,15,0.0484344,0.951566,0.0335722,0,2166
14,0,0.0244453,0.975555,0.0169442,0,2166
14,1,0.030919,0.969081,0.0214314,0,2166
14,2,0.0177312,0.982269,0.0122903,0,2166
14,3,0.0364633,0.963537,0.0252744,0,2166
14,4,0.0205963,0.979404,0.0142763,0,2166
14,5,0.0281844,0.971816,0.0195359,0,2166
14,6,0.0306827,0.969317,0.0212676,0,2166
14,7,0.0268505,0.973149,0.0186114,0,2166
14,8,0.033059,0.966941,0.0229148,0,2166
14,9,0.0247548,0.975245,0.0171587,0,2166
14,10,0.0159586,0.984041,0.0110617,0,2166
14,11,0.0362992,0.963701,0.0251607,0,2166
14,12,0.0254507,0.974549,0.0176411,0,2166
14,13,0.0223372,0.977663,0.015483,0,2166
14,14,0.0171283,0.982872,0.0118724,0,2166
14,15,0.0292905,0.970709,0.0203027,0,2166
15,0,0.0907938,0.909206,0.0629335,0,2166
15,1,0.0409992,0.959001,0.0284185,0,2166
15,2,0.0322958,0.967704,0.0223858,0,2166
15,3,0.054086,0.945914,0.0374895,0,2166
15,4,0.0910677,0.908932,0.0631233,0,2166
15,5,0.0470446,0.952955,0.0326088,0,2166
15,6,0.0489987,0.951001,0.0339633,0,2166
15,7,0.0869124,0.913088,0.0602431,0,2166
15,8,0.0431671,0.956833,0.0299211,0,2166
15,9,0.0521413,0.947859,0.0361416,0,2166
15,10,0.063877,0.936123,0.0442762,0,2166
15,11,0.0366019,0.963398,0.0253705,0,2166
15,12,0.0549566,0.945043,0.038093,0,2166
15,13,0.0580949,0.941905,0.0402683,0,2166
15,14,0.0556904,0.94431,0.0386016,0,2166
15,15,0.0436744,0.956326,0.0302728,0,2166
16,0,0.0604834,0.939517,0.0419239,0,2166
16,1,0.0306166,0.969383,0.0212218,0,2166
16,2,0.0499747,0.950025,0.0346398,0,2166
16,3,0.0256089,0.974391,0.0177507,0,2166
16,4,0.0340916,0.965908,0.0236305,0,2166
16,5,0.0424458,0.957554,0.0294212,0,2166
16,6,0.0291341,0.970866,0.0201942,0,2166
16,7,0.0552523,0.944748,0.038298,0,2166
16,8,0.0268092,0.973191,0.0185827,0,2166
16,9,0.0369785,0.963022,0.0256315,0,2166
16,10,0.0371301,0.96287,0.0257367,0,2166
16,11,0.0333603,0.96664,0.0231236,0,2166
16,12,0.0336935,0.966306,0.0233546,0,2166
16,13,0.0340378,0.965962,0.0235932,0,2166
16,14,0.0929798,0.90702,0.0644487,0,2166
16,15,0.0269914,0.973009,0.018709,0,2166
17,0,0.0519041,0.948096,0.0359771,0,2166
17,1,0.0742919,0.925708,0.0514952,0,2166
17,2,0.0425141,0.957486,0.0294685,0,2166
17,3,0.069069,0.930931,0.047875,0,2166
17,4,0.0488592,0.951141,0.0338666,0,2166
17,5,0.044543,0.955457,0.0308749,0,2166
17,6,0.0481175,0.951882,0.0333525,0,2166
17,7,0.0685465,0.931454,0.0475128,0,2166
17,8,0.0578283,0.942172,0.0400836,0,2166
17,9,0.0808664,0.919134,0.0560523,0,2166
17,10,0.0480419,0.951958,0.0333001,0,2166
17,11,0.0607831,0.939217,0.0421316,0,2166
17,12,0.0448082,0.955192,0.0310587,0,2166
17,13,0.0535006,0.946499,0.0370838,0,2166
17,14,0.0469652,0.953035,0.0325538,0,2166
17,15,0.0505094,0.949491,0.0350104,0,2166
18,0,0.0602664,0.939734,0.0417735,0,2166
18,1,0.0558774,0.944123,0.0387313,0,2166
18,2,0.0607073,0.939293,0.0420791,0,2166
18,3,0.0628593,0.937141,0.0435707,0,2166
18,4,0.0374496,0.96255,0.0259581,0,2166
18,5,0.0734015,0.926599,0.050878,0,2166
18,6,0.0502407,0.949759,0.0348242,0,2166
18,7,0.0460226,0.953977,0.0319005,0,2166
18,8,0.0545126,0.945487,0.0377852,0,2166
18,9,0.0407652,0.959235,0.0282563,0,2166
18,10,0.0370001,0.963,0.0256465,0,2166
18,11,0.0469787,0.953021,0.0325631,0,2166
18,12,0.0369431,0.963057,0.025607,0,2166
18,13,0.0790936,0.920906,0.0548235,0,2166
18,14,0.0428702,0.95713,0.0297154,0,2166
18,15,0.053187,0.946813,0.0368664,0,2166
19,0,0.195461,0.804539,0.135483,0,2166
19,1,0.279,0.721,0.193388,0,2166
19,2,0.24831,0.75169,0.172116,0,2166
19,3,0.236621,0.763379,0.164013,0,2166
19,4,0.29307,0.70693,0.203141,0,2166
19,5,0.259894,0.740106,0.180145,0,2166
19,6,0.0927653,0.907235,0.0643,0,2166
19,7,0.278686,0.721314,0.19317,0,2166
19,8,0.146986,0.853014,0.101883,0,2166
19,9,0.282177,0.717823,0.19559,0,2166
19,10,0.121547,0.878453,0.0842496,0,2166
19,11,0.272684,0.727316,0.18901,0,2166
19,12,0.300254,0.699746,0.20812,0,2166
19,13,0.305035,0.694965,0.211434,0,2166
19,14,0.275908,0.724092,0.191245,0,2166
19,15,0.202131,0.797869,0.140107,0,2166
20,0,0.0868076,0.913192,0.0601704,0,2166
20,1,0.085408,0.914592,0.0592003,0,2166
20,2,0.079169,0.920831,0.0548758,0,2166
20,3,0.0783132,0.921687,0.0542826,0,2166
20,4,0.086355,0.913645,0.0598567,0,2166
20,5,0.0962865,0.903713,0.0667407,0,2166
20,6,0.0744677,0.925532,0.051617,0,2166
20,7,0.172388,0.827612,0.11949,0,2166
20,8,0.110853,0.889147,0.0768374,0,2166
20,9,0.0911363,0.908864,0.0631708,0,2166
20,10,0.0786075,0.921393,0.0544865,0,2166
20,11,0.0782393,0.921761,0.0542313,0,2166
20,12,0.0983056,0.901694,0.0681403,0,2166
20,13,0.094437,0.905563,0.0654587,0,2166
20,14,0.0619784,0.938022,0.0429602,0,2166
20,15,0.0967195,0.90328,0.0670409,0,2166
21,0,0.0583052,0.941695,0.0404141,0,2166
21,1,0.119893,0.880107,0.0831033,0,2166
21,2,0.197418,0.802582,0.13684,0,2166
21,3,0.106606,0.893394,0.0738938,0,2166
21,4,0.160696,0.839304,0.111386,0,2166
21,5,0.144699,0.855301,0.100298,0,2166
21,6,0.0681259,0.931874,0.0472213,0,2166
21,7,0.134516,0.865484,0.0932391,0,2166
21,8,0.142696,0.857304,0.0989091,0,2166
21,9,0.0930183,0.906982,0.0644754,0,2166
21,10,0.084487,0.915513,0.0585619,0,2166
21,11,0.173371,0.826629,0.120172,0,2166
21,12,0.0670154,0.932985,0.0464516,0,2166
21,13,0.0898242,0.910176,0.0622614,0,2166
21,14,0.0968436,0.903156,0.0671268,0,2166
21,15,0.0993804,0.90062,0.0688852,0,2166
22,0,0.214048,0.785952,0.148366,0,2166
22,1,0.113176,0.886824,0.0784479,0,2166
22,2,0.127512,0.872488,0.0883843,0,2166
22,3,0.113793,0.886207,0.0788755,0,2166
22,4,0.131129,0.868871,0.0908919,0,2166
22,5,0.110481,0.889519,0.0765796,0,2166
22,6,0.108956,0.891044,0.0755228,0,2166
22,7,0.088116,0.911884,0.0610774,0,2166
22,8,0.0673315,0.932668,0.0466706,0,2166
22,9,0.0924456,0.907554,0.0640784,0,2166
22,10,0.0761014,0.923899,0.0527495,0,2166
22,11,0.087354,0.912646,0.0605492,0,2166
22,12,0.162574,0.837426,0.112687,0,2166
22,13,0.142998,0.857002,0.099119,0,2166
22,14,0.0688224,0.931178,0.047704,0,2166
22,15,0.0853778,0.914622,0.0591794,0,2166
23,0,0.117252,0.882748,0.081273,0,2166
23,1,0.150312,0.849688,0.104188,0,2166
23,2,0.134417,0.865583,0.0931709,0,2166
23,3,0.13916,0.86084,0.0964584,0,2166
23,4,0.130679,0.869321,0.0905799,0,2166
23,5,0.153008,0.846992,0.106057,0,2166
23,6,0.159278,0.840722,0.110403,0,2166
23,7,0.143661,0.856339,0.0995785,0,2166
23,8,0.210635,0.789365,0.146001,0,2166
23,9,0.134256,0.865744,0.0930595,0,2166
23,10,0.264012,0.735988,0.182999,0,2166
23,11,0.167314,0.832686,0.115973,0,2166
23,12,0.152111,0.847889,0.105436,0,2166
23,13,0.151827,0.848173,0.105239,0,2166
