layer,head,importance,similarity,mean_jsd,n_prompts_or_windows,n_token_vectors
9,4,0.0355067,0.964493,0.0246114,0,4810
9,5,0.0178388,0.982161,0.0123649,0,4810
9,6,0.015491,0.984509,0.0107375,0,4810
9,7,0.0178867,0.982113,0.0123981,0,4810
9,8,0.0260519,0.973948,0.0180578,0,4810
9,9,0.0240885,0.975912,0.0166969,0,4810
9,10,0.0459403,0.95406,0.0318434,0,4810
9,11,0.0211546,0.978845,0.0146633,0,4810
9,12,0.0266879,0.973312,0.0184986,0,4810
9,13,0.0425112,0.957489,0.0294665,0,4810
9,14,0.0171616,0.982838,0.0118955,0,4810
9,15,0.0295552,0.970445,0.0204861,0,4810
10,0,0.0243917,0.975608,0.0169071,0,4810
10,1,0.0241604,0.97584,0.0167467,0,4810
10,2,0.0268974,0.973103,0.0186439,0,4810
10,3,0.0164016,0.983598,0.0113687,0,4810
10,4,0.0264748,0.973525,0.0183509,0,4810
10,5,0.0211518,0.978848,0.0146613,0,4810
10,6,0.0531383,0.946862,0.0368327,0,4810
10,7,0.0279683,0.972032,0.0193862,0,4810
10,8,0.0235757,0.976424,0.0163414,0,4810
10,9,0.0311553,0.968845,0.0215952,0,4810
10,10,0.0184478,0.981552,0.012787,0,4810
10,11,0.0266303,0.97337,0.0184587,0,4810
10,12,0.024913,0.975087,0.0172684,0,4810
10,13,0.0221312,0.977869,0.0153402,0,4810
10,14,0.0349512,0.965049,0.0242263,0,4810
10,15,0.0315795,0.96842,0.0218893,0,4810
11,0,0.0207404,0.97926,0.0143762,0,4810
11,1,0.0245677,0.975432,0.017029,0,4810
11,2,0.0285381,0.971462,0.0197811,0,4810
11,3,0.0206878,0.979312,0.0143397,0,4810
11,4,0.0268857,0.973114,0.0186358,0,4810
11,5,0.0236221,0.976378,0.0163736,0,4810
11,6,0.0314921,0.968508,0.0218287,0,4810
11,7,0.0240356,0.975964,0.0166602,0,4810
11,8,0.022218,0.977782,0.0154003,0,4810
11,9,0.0250514,0.974949,0.0173643,0,4810
11,10,0.0304378,0.969562,0.0210979,0,4810
11,11,0.0284453,0.971555,0.0197168,0,4810
11,12,0.0246624,0.975338,0.0170946,0,4810
11,13,0.02261,0.97739,0.015672,0,4810
11,14,0.0280418,0.971958,0.0194371,0,4810
11,15,0.0303634,0.969637,0.0210463,0,4810
12,0,0.0312346,0.968765,0.0216502,0,4810
12,1,0.030807,0.969193,0.0213538,0,4810
12,2,0.0243134,0.975687,0.0168528,0,4810
12,3,0.0240788,0.975921,0.0166902,0,4810
12,4,0.0467199,0.95328,0.0323838,0,4810
12,5,0.0358875,0.964112,0.0248754,0,4810
12,6,0.0290677,0.970932,0.0201482,0,4810
12,7,0.028596,0.971404,0.0198212,0,4810
12,8,0.0333716,0.966628,0.0231314,0,4810
12,9,0.0519753,0.948025,0.0360265,0,4810
12,10,0.063672,0.936328,0.0441341,0,4810
12,11,0.0242869,0.975713,0.0168344,0,4810
12,12,0.0309899,0.96901,0.0214806,0,4810
12,13,0.0894522,0.910548,0.0620036,0,4810
12,14,0.0217331,0.978267,0.0150642,0,4810
12,15,0.0246881,0.975312,0.0171125,0,4810
13,0,0.0321625,0.967838,0.0222933,0,4810
13,1,0.0453185,0.954682,0.0314124,0,4810
13,2,0.0267886,0.973211,0.0185684,0,4810
13,3,0.0382707,0.961729,0.0265272,0,4810
13,4,0.034217,0.965783,0.0237174,0,4810
13,5,0.0370952,0.962905,0.0257125,0,4810
13,6,0.0248026,0.975197,0.0171919,0,4810
13,7,0.0367084,0.963292,0.0254443,0,4810
13,8,0.0268117,0.973188,0.0185845,0,4810
13,9,0.0369434,0.963057,0.0256072,0,4810
13,10,0.033976,0.966024,0.0235503,0,4810
13,11,0.0357762,0.964224,0.0247982,0,4810
13,12,0.0283902,0.97161,0.0196786,0,4810
13,13,0.0325931,0.967407,0.0225918,0,4810
13,14,0.024556,0.975444,0.0170209,0,4810
13,15,0.0408137,0.959186,0.0282899,0,4810
14,0,0.0191017,0.980898,0.0132403,0,4810
14,1,0.02303,0.97697,0.0159632,0,4810
14,2,0.0125238,0.987476,0.00868083,0,4810
14,3,0.0252081,0.974792,0.0174729,0,4810
14,4,0.0150998,0.9849,0.0104664,0,4810
14,5,0.0194285,0.980572,0.0134668,0,4810
14,6,0.0220797,0.97792,0.0153045,0,4810
14,7,0.0179191,0.982081,0.0124206,0,4810
14,8,0.02469,0.97531,0.0171138,0,4810
14,9,0.0182604,0.98174,0.0126572,0,4810
14,10,0.0118908,0.988109,0.00824207,0,4810
14,11,0.0267383,0.973262,0.0185336,0,4810
14,12,0.0202524,0.979748,0.0140379,0,4810
14,13,0.0180583,0.981942,0.0125171,0,4810
14,14,0.0124926,0.987507,0.0086592,0,4810
14,15,0.0216692,0.978331,0.0150199,0,4810
15,0,0.0776549,0.922345,0.0538263,0,4810
15,1,0.0339796,0.96602,0.0235529,0,4810
15,2,0.0273257,0.972674,0.0189407,0,4810
15,3,0.0420349,0.957965,0.0291363,0,4810
15,4,0.0718159,0.928184,0.049779,0,4810
15,5,0.036279,0.963721,0.0251467,0,4810
15,6,0.0388194,0.961181,0.0269076,0,4810
15,7,0.0770083,0.922992,0.0533781,0,4810
15,8,0.0304622,0.969538,0.0211148,0,4810
15,9,0.043745,0.956255,0.0303217,0,4810
15,10,0.0486942,0.951306,0.0337523,0,4810
15,11,0.030815,0.969185,0.0213593,0,4810
15,12,0.0467747,0.953225,0.0324217,0,4810
15,13,0.044662,0.955338,0.0309574,0,4810
15,14,0.0426793,0.957321,0.0295831,0,4810
15,15,0.027097,0.972903,0.0187822,0,4810
16,0,0.0409712,0.959029,0.028399,0,4810
16,1,0.0201838,0.979816,0.0139903,0,4810
16,2,0.0320602,0.96794,0.0222224,0,4810
16,3,0.0163592,0.983641,0.0113393,0,4810
16,4,0.0251928,0.974807,0.0174623,0,4810
16,5,0.0307266,0.969273,0.0212981,0,4810
16,6,0.0193854,0.980615,0.0134369,0,4810
16,7,0.0352151,0.964785,0.0244093,0,4810
16,8,0.0200543,0.979946,0.0139006,0,4810
16,9,0.028037,0.971963,0.0194338,0,4810
16,10,0.0231612,0.976839,0.0160541,0,4810
16,11,0.0239561,0.976044,0.0166051,0,4810
16,12,0.0265475,0.973453,0.0184013,0,4810
16,13,0.0228027,0.977197,0.0158056,0,4810
16,14,0.0681968,0.931803,0.0472704,0,4810
16,15,0.0201414,0.979859,0.013961,0,4810
17,0,0.0400794,0.959921,0.0277809,0,4810
17,1,0.0543896,0.94561,0.0377,0,4810
17,2,0.0292973,0.970703,0.0203073,0,4810
17,3,0.0513803,0.94862,0.0356141,0,4810
17,4,0.0375955,0.962404,0.0260592,0,4810
17,5,0.0323264,0.967674,0.0224069,0,4810
17,6,0.0377614,0.962239,0.0261742,0,4810
17,7,0.0528494,0.947151,0.0366324,0,4810
17,8,0.0443687,0.955631,0.030754,0,4810
17,9,0.0629952,0.937005,0.0436649,0,4810
17,10,0.0325374,0.967463,0.0225532,0,4810
17,11,0.0450804,0.95492,0.0312473,0,4810
17,12,0.0371184,0.962882,0.0257285,0,4810
17,13,0.0385146,0.961485,0.0266963,0,4810
17,14,0.0354903,0.96451,0.0246,0,4810
17,15,0.037704,0.962296,0.0261344,0,4810
18,0,0.0473501,0.95265,0.0328206,0,4810
18,1,0.0423349,0.957665,0.0293443,0,4810
18,2,0.0386743,0.961326,0.026807,0,4810
18,3,0.0455181,0.954482,0.0315507,0,4810
18,4,0.0324827,0.967517,0.0225153,0,4810
18,5,0.054809,0.945191,0.0379907,0,4810
18,6,0.0347172,0.965283,0.0240641,0,4810
18,7,0.0360512,0.963949,0.0249888,0,4810
18,8,0.0451315,0.954869,0.0312827,0,4810
18,9,0.0257019,0.974298,0.0178152,0,4810
18,10,0.0296515,0.970349,0.0205528,0,4810
18,11,0.0343117,0.965688,0.0237831,0,4810
18,12,0.0312495,0.968751,0.0216605,0,4810
18,13,0.0632149,0.936785,0.0438172,0,4810
18,14,0.029794,0.970206,0.0206516,0,4810
18,15,0.0432058,0.956794,0.029948,0,4810
19,0,0.164344,0.835656,0.113915,0,4810
19,1,0.254281,0.745719,0.176254,0,4810
19,2,0.217302,0.782698,0.150622,0,4810
19,3,0.216956,0.783044,0.150382,0,4810
19,4,0.252945,0.747055,0.175328,0,4810
19,5,0.238951,0.761049,0.165628,0,4810
19,6,0.0616615,0.938338,0.0427405,0,4810
19,7,0.265045,0.734955,0.183715,0,4810
19,8,0.11123,0.88877,0.0770989,0,4810
19,9,0.252943,0.747057,0.175327,0,4810
19,10,0.103871,0.896129,0.0719976,0,4810
19,11,0.241283,0.758717,0.167244,0,4810
19,12,0.280033,0.719967,0.194104,0,4810
19,13,0.271276,0.728724,0.188034,0,4810
19,14,0.263396,0.736604,0.182572,0,4810
19,15,0.182584,0.817416,0.126557,0,4810
20,0,0.0693333,0.930667,0.0480582,0,4810
20,1,0.0641453,0.935855,0.0444622,0,4810
20,2,0.0639621,0.936038,0.0443351,0,4810
20,3,0.0652105,0.934789,0.0452005,0,4810
20,4,0.0694805,0.93052,0.0481602,0,4810
20,5,0.0813763,0.918624,0.0564057,0,4810
20,6,0.0514462,0.948554,0.0356598,0,4810
20,7,0.144756,0.855244,0.100338,0,4810
20,8,0.0927264,0.907274,0.064273,0,4810
20,9,0.0651609,0.934839,0.0451661,0,4810
20,10,0.0634619,0.936538,0.0439884,0,4810
20,11,0.0572141,0.942786,0.0396578,0,4810
20,12,0.0746178,0.925382,0.0517211,0,4810
20,13,0.0687068,0.931293,0.0476239,0,4810
20,14,0.0439814,0.956019,0.0304856,0,4810
20,15,0.065673,0.934327,0.0455211,0,4810
21,0,0.0455105,0.954489,0.0315455,0,4810
21,1,0.0969416,0.903058,0.0671948,0,4810
21,2,0.146612,0.853388,0.101624,0,4810
21,3,0.0796748,0.920325,0.0552264,0,4810
21,4,0.120724,0.879276,0.0836797,0,4810
21,5,0.118185,0.881815,0.0819197,0,4810
21,6,0.0470735,0.952926,0.0326289,0,4810
21,7,0.0964079,0.903592,0.0668248,0,4810
21,8,0.112812,0.887188,0.0781956,0,4810
21,9,0.0740093,0.925991,0.0512993,0,4810
21,10,0.0689106,0.931089,0.0477652,0,4810
21,11,0.141066,0.858934,0.0977793,0,4810
21,12,0.0533696,0.94663,0.036993,0,4810
21,13,0.0736342,0.926366,0.0510394,0,4810
21,14,0.0738966,0.926103,0.0512212,0,4810
21,15,0.0824575,0.917542,0.0571552,0,4810
22,0,0.136747,0.863253,0.094786,0,4810
22,1,0.0587346,0.941265,0.0407117,0,4810
22,2,0.0987259,0.901274,0.0684316,0,4810
22,3,0.0550769,0.944923,0.0381764,0,4810
22,4,0.0995519,0.900448,0.0690041,0,4810
22,5,0.0831607,0.916839,0.0576426,0,4810
22,6,0.0868154,0.913185,0.0601758,0,4810
22,7,0.0641325,0.935867,0.0444533,0,4810
22,8,0.0448871,0.955113,0.0311134,0,4810
22,9,0.0557395,0.94426,0.0386357,0,4810
22,10,0.0542181,0.945782,0.0375811,0,4810
22,11,0.0634924,0.936508,0.0440096,0,4810
22,12,0.0762651,0.923735,0.0528629,0,4810
22,13,0.100347,0.899653,0.0695554,0,4810
22,14,0.0450645,0.954936,0.0312363,0,4810
22,15,0.0448866,0.955113,0.031113,0,4810
23,0,0.0799349,0.920065,0.0554067,0,4810
23,1,0.111834,0.888166,0.0775173,0,4810
23,2,0.110269,0.889731,0.0764326,0,4810
23,3,0.104341,0.895659,0.0723235,0,4810
23,4,0.084851,0.915149,0.0588143,0,4810
23,5,0.116691,0.883309,0.0808843,0,4810
23,6,0.107907,0.892093,0.0747953,0,4810
23,7,0.0989857,0.901014,0.0686117,0,4810
23,8,0.166441,0.833559,0.115368,0,4810
23,9,0.104539,0.895461,0.0724612,0,4810
23,10,0.199274,0.800726,0.138126,0,4810
