op name, kernel name, exec duration (ms), global size, local size, output size
Qcur-13,kernel_rope_neox_f32,0.074800,1792x128x1,64x1x1,128x28x128x1
Kcur-13,kernel_add_row,0.014100,16384x0x0,64x0x0,512x128x1x1
Kcur-13,kernel_rope_neox_f32,0.012300,256x128x1,64x1x1,128x4x128x1
Vcur-13,kernel_add_row,0.009900,16384x0x0,64x0x0,512x128x1x1
cache_k_l13 (view),kernel_set_rows_f16_i64,0.016000,65536x1x1,512x1x1,512x4096x1x1
cache_v_l13 (view),kernel_set_rows_f16_i64,0.014200,65536x1x1,512x1x1,512x4096x1x1
__fattn__-13,flash_attn_f32_f16,40.033298,128x28x0,32x1x0,128x28x128x1
ffn_inp-13,kernel_add,0.220900,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-13,kernel_rms_norm_mul,0.107500,131072x1x1,1024x1x1,3584x128x1x1
l_out-13,kernel_add,0.200900,8192x1x1,64x1x1,3584x128x1x1
attn_norm-14,kernel_rms_norm_mul,0.102000,131072x1x1,1024x1x1,3584x128x1x1
Qcur-14,kernel_add_row,0.110500,114688x0x0,64x0x0,3584x128x1x1
Qcur-14,kernel_rope_neox_f32,0.097500,1792x128x1,64x1x1,128x28x128x1
Kcur-14,kernel_add_row,0.014400,16384x0x0,64x0x0,512x128x1x1
Kcur-14,kernel_rope_neox_f32,0.012400,256x128x1,64x1x1,128x4x128x1
node_488,kernel_mul_mv_q6_K_f32,15.834000,512x8192x1,2x64x1,512x128x1x1
Vcur-14,kernel_add_row,0.013200,16384x0x0,64x0x0,512x128x1x1
cache_k_l14 (view),kernel_set_rows_f16_i64,0.019600,65536x1x1,512x1x1,512x4096x1x1
cache_v_l14 (view),kernel_set_rows_f16_i64,0.014700,65536x1x1,512x1x1,512x4096x1x1
__fattn__-14,flash_attn_f32_f16,46.250099,128x28x0,32x1x0,128x28x128x1
ffn_inp-14,kernel_add,0.215100,8192x1x1,64x1x1,3584x128x1x1
ffn_norm-14,kernel_rms_norm_mul,0.110600,131072x1x1,1024x1x1,3584x128x1x1
ffn_swiglu-14,kernel_swiglu,0.531800,65536x1x1,512x1x1,18944x128x1x1
ffn_out-14,kernel_mul_mv_q6_K_f32,546.066711,3584x8192x1,2x64x1,3584x128x1x1
l_out-14,kernel_add,0.216000,8192x1x1,64x1x1,3584x128x1x1
attn_norm-15,kernel_rms_norm_mul,0.111500,131072x1x1,1024x1x1,3584x128x1x1
Qcur-15,kernel_add_row,0.136100,114688x0x0,64x0x0,3584x128x1x1
