op name, kernel name, exec duration (ms), global size, local size, output size
node_1336,kernel_add,0.017400,4096x1x1,64x1x1,2048x64x1x1
node_1337,kernel_add,0.017400,4096x1x1,64x1x1,2048x64x1x1
ffn_moe_out-20,kernel_add,0.017600,4096x1x1,64x1x1,2048x64x1x1
ffn_shexp-20,kernel_transpose_32_16,0.013000,704x16x0,1x16x0,2048x64x1x1
ffn_shexp-20,kernel_mul_mat_Ab_Bi_8x4,0.525800,8x512x1,1x128x1,2048x64x1x1
ffn_out-20,kernel_add,0.015700,4096x1x1,64x1x1,2048x64x1x1
l_out-20,kernel_add,0.018400,4096x1x1,64x1x1,2048x64x1x1
attn_norm-21,kernel_rms_norm_mul,0.019300,65536x1x1,1024x1x1,2048x64x1x1
q-21,kernel_transpose_32_16,0.006800,512x16x0,1x16x0,3072x64x1x1
q-21,kernel_mul_mat_Ab_Bi_8x4,0.388200,8x768x1,1x128x1,3072x64x1x1
q_pe-21,kernel_rope_norm_f32,0.012000,1024x64x1,64x1x1,64x16x64x1
Qcur-21,kernel_concat_f32_non_contiguous,0.348300,16x64x1,0x0x0,192x16x64x1
kv_cmpr_pe-21,kernel_transpose_32_16,0.010100,512x16x0,1x16x0,576x64x1x1
kv_cmpr_pe-21,kernel_mul_mat_Ab_Bi_8x4,0.315100,8x144x1,1x128x1,576x64x1x1
k_pe-21,kernel_rope_norm_f32,0.002800,64x64x1,64x1x1,64x1x64x1
node_1352,kernel_repeat,0.287400,16x64x1,0x0x0,64x16x64x1
kv_cmpr-21,kernel_rms_norm_mul,0.009900,32768x1x1,512x1x1,512x64x1x1
kv-21,kernel_transpose_32_16,0.004200,128x16x0,1x16x0,4096x64x1x1
kv-21,kernel_mul_mat_Ab_Bi_8x4,0.134300,8x1024x1,1x128x1,4096x64x1x1
Kcur-21,kernel_concat_f32_non_contiguous,0.396600,16x64x1,0x0x0,192x16x64x1
Vcur_cont-21,kernel_cpy_f32_f32,0.013600,1024x64x1,64x1x1,128x16x64x1
cache_k_l21 (view),kernel_set_rows_f16_i64,0.014700,65536x1x1,1024x1x1,3072x4096x1x1
cache_v_l21 (view),kernel_set_rows_f16_i64,0.011500,65536x1x1,1024x1x1,2048x4096x1x1
__fattn__-21,flash_attn_f32_f16,9.364100,64x16x0,16x1x0,128x16x64x1
node_1373,kernel_transpose_32_16,0.009300,512x16x0,1x16x0,2048x64x1x1
node_1373,kernel_mul_mat_Ab_Bi_8x4,0.374500,8x512x1,1x128x1,2048x64x1x1
ffn_inp-21,kernel_add,0.020500,4096x1x1,64x1x1,2048x64x1x1
ffn_norm-21,kernel_rms_norm_mul,0.019100,65536x1x1,1024x1x1,2048x64x1x1
ffn_moe_logits-21,kernel_mul_mm_f32_f32_l4_lm,0.509000,128x1x1,128x1x1,64x64x1x1
ffn_moe_probs-21,kernel_soft_max_4,0.004000,4096x1x1,64x1x1,64x64x1x1
ffn_moe_argsort-21,kernel_argsort_f32_i32,0.015000,64x64x1,64x1x1,64x64x1x1
